,n_estimators,max_features,random_state,n_features,accuracy,time
0,100.0,sqrt,8.0,1540.0,0.9563780625285061,69.61824464797974
1,100.0,sqrt,8.0,54.0,0.953796373587601,18.689647912979126
2,100.0,1.0,8.0,1540.0,0.9670060153352323,732.8227369785309
3,100.0,1.0,8.0,54.0,0.9682194091374577,31.87282967567444
4,250.0,sqrt,8.0,1540.0,0.9570923298021565,80.40768790245056
5,250.0,sqrt,8.0,54.0,0.9551732743560838,17.332719564437866
6,250.0,1.0,8.0,1540.0,0.9674621137147922,1622.349330663681
7,250.0,1.0,8.0,54.0,0.9684689724017452,75.00583076477051
8,500.0,sqrt,8.0,1540.0,0.9572300198790048,164.63670802116394
9,500.0,sqrt,8.0,54.0,0.9554228376203713,34.95435070991516
10,500.0,1.0,8.0,1540.0,0.9677116769790797,3199.3351464271545
11,500.0,1.0,8.0,54.0,0.9686066624785935,152.20085954666138
